database_slug,source_person_id,canonical_name,reference_url,match_basis
cm0001_vanilla_original,71713,Erol Bulut,https://www.wikidata.org/wiki/Q562157,unique accent/order-insensitive token match; DOB distance 1 day(s)
cm0001_vanilla_original,73225,Kurtuluş Öztürk,https://www.wikidata.org/wiki/Q98278011,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75341,Yaşar Erdoğan,https://www.wikidata.org/wiki/Q134449681,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75354,Yasin Çelik,https://www.wikidata.org/wiki/Q2856378,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75361,Yasin Sülün,https://www.wikidata.org/wiki/Q1550964,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75370,Yavuz Eraydın,https://www.wikidata.org/wiki/Q1419830,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75520,Kubilay Türkyılmaz,https://www.wikidata.org/wiki/Q366571,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75526,Hakan Yakın,https://www.wikidata.org/wiki/Q122346,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75527,Murat Yakın,https://www.wikidata.org/wiki/Q113245,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75538,Abdülkadir Demirci,https://www.wikidata.org/wiki/Q17045440,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75545,Abdurrahman Dereli,https://www.wikidata.org/wiki/Q180924,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75552,Adem Çak,https://www.wikidata.org/wiki/Q134222206,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75553,Adem Dursun,https://www.wikidata.org/wiki/Q4682114,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75555,Adem Kaya,https://www.wikidata.org/wiki/Q6080587,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75564,Adnan Erkan,https://www.wikidata.org/wiki/Q359388,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75567,Adnan Güngör,https://www.wikidata.org/wiki/Q359403,unique accent/order-insensitive token match; DOB distance 0 day(s)
cm0001_vanilla_original,75568,Adnan İlgin,https://www.wikidata.org/wiki/Q23920695,unique accent/order-insensitive token match; DOB distance 0 day(s)
